Survived,Pclass,Sex,Age,SibSp,Parch,Fare,TitleGroup,FamilySize
0,3,0,27,1,0,14.4542,Mr,2
1,1,0,42,1,0,52.5542,Mr,2
1,3,0,20,1,1,15.7417,Mr,3
0,3,0,21,0,0,7.8542,Mr,1
0,3,0,21,0,0,16.1,Mr,1
0,1,0,61,0,0,32.3208,Mr,1
0,2,0,57,0,0,12.35,Mr,1
1,1,1,21,0,0,77.9583,Miss,1
0,3,0,26,0,0,7.8958,Mr,1
0,3,0,30,0,0,7.7333,Mr,1
1,1,0,80,0,0,30.0,Mr,1
0,3,0,51,0,0,7.0542,Mr,1
1,1,0,32,0,0,30.5,Dr,1
0,1,0,30,0,0,0.0,Mr,1
0,3,1,9,3,2,27.9,Miss,6
1,2,1,28,0,0,13.0,Miss,1
0,3,0,32,0,0,7.925,Mr,1
0,2,0,31,1,1,26.25,Mr,3
0,3,1,41,0,5,39.6875,Mrs,6
0,3,0,30,1,0,16.1,Mr,2
0,3,0,20,0,0,7.8542,Mr,1
1,1,1,24,0,0,69.3,Miss,1
0,3,1,2,3,2,27.9,Miss,6
1,3,0,30,0,0,56.4958,Mr,1
1,3,1,1,2,1,19.2583,Miss,4
1,1,0,48,1,0,76.7292,Mr,2
0,3,0,19,0,0,7.8958,Mr,1
1,1,0,56,0,0,35.5,Mr,1
0,3,0,30,0,0,7.55,Mr,1
1,3,1,23,0,0,7.55,Miss,1
0,3,0,30,0,0,7.8958,Mr,1
1,2,1,18,0,1,23.0,Miss,2
0,3,0,21,0,0,8.4333,Mr,1
1,3,1,21,0,0,7.8292,Miss,1
0,3,1,18,0,0,6.75,Miss,1
0,2,0,24,2,0,73.5,Mr,3
0,3,0,30,0,0,7.8958,Mr,1
0,3,1,32,1,1,15.5,Mrs,3
0,2,0,23,0,0,13.0,Mr,1
0,1,0,58,0,2,113.275,Mr,3
1,1,0,50,2,0,133.65,Dr,3
0,3,0,40,0,0,7.225,Mr,1
0,1,0,47,0,0,25.5875,Mr,1
0,3,0,36,0,0,7.4958,Mr,1
1,3,0,20,1,0,7.925,Mr,2
0,2,0,32,2,0,73.5,Mr,3
0,2,0,25,0,0,13.0,Mr,1
0,3,0,30,0,0,7.775,Mr,1
0,3,0,43,0,0,8.05,Mr,1
1,1,1,35,1,0,52.0,Mrs,2
1,2,1,40,1,1,39.0,Mrs,3
0,1,0,31,1,0,52.0,Mr,2
0,2,0,70,0,0,10.5,Mr,1
1,2,0,31,0,0,13.0,Mr,1
0,2,0,30,0,0,0.0,Mr,1
0,3,0,18,0,0,7.775,Mr,1
0,3,0,25,0,0,8.05,Mr,1
1,3,1,18,0,0,9.8417,Miss,1
0,3,1,43,1,6,46.9,Mrs,8
1,1,0,36,0,1,512.3292,Mr,2
0,3,1,21,0,0,8.1375,Miss,1
1,1,0,27,0,0,76.7292,Mr,1
0,3,0,20,0,0,9.225,Mr,1
0,3,0,14,5,2,46.9,Mr,8
0,2,0,60,1,1,39.0,Mr,3
0,2,0,25,1,2,41.5792,Mr,4
0,3,0,14,4,1,39.6875,Mr,6
0,3,0,19,0,0,10.1708,Mr,1
0,3,0,18,0,0,7.7958,Mr,1
1,1,1,15,0,1,211.3375,Miss,2
1,1,0,31,1,0,57.0,Mr,2
1,3,1,4,0,1,13.4167,Miss,2
1,3,0,30,0,0,56.4958,Mr,1
0,3,0,25,0,0,7.225,Mr,1
0,1,0,60,0,0,26.55,Mr,1
0,2,0,52,0,0,13.5,Mr,1
0,3,0,44,0,0,8.05,Mr,1
1,3,1,21,0,0,7.7333,Miss,1
0,1,0,49,1,1,110.8833,Mr,3
0,3,0,42,0,0,7.65,Mr,1
1,1,1,18,1,0,227.525,Mrs,2
1,1,0,35,0,0,26.2875,Mr,1
0,3,1,18,0,1,14.4542,Miss,2
0,3,0,25,0,0,7.7417,Mr,1
0,3,0,26,1,0,7.8542,Mr,2
0,2,0,39,0,0,26.0,Mr,1
1,2,1,45,0,0,13.5,Mrs,1
1,1,0,42,0,0,26.2875,Mr,1
1,1,1,22,0,0,151.55,Miss,1
1,3,0,4,1,1,15.2458,kid,3
1,1,1,24,0,0,49.5042,Miss,1
0,1,0,30,0,0,26.55,Mr,1
1,1,0,48,1,0,52.0,Mr,2
0,3,0,29,0,0,9.4833,Mr,1
0,2,0,52,0,0,13.0,Mr,1
0,3,0,19,0,0,7.65,Mr,1
1,1,1,38,0,0,227.525,Miss,1
1,2,1,27,0,0,10.5,Miss,1
0,3,0,30,0,0,15.5,Mr,1
0,3,0,33,0,0,7.775,Mr,1
1,2,1,6,0,1,33.0,Miss,2
0,3,0,17,1,0,7.0542,Mr,2
0,2,0,34,0,0,13.0,Mr,1
0,2,0,50,0,0,13.0,Mr,1
1,1,0,27,1,0,53.1,Mr,2
0,3,0,20,0,0,8.6625,Mr,1
1,2,1,30,3,0,21.0,Mrs,4
1,3,1,21,0,0,7.7375,Miss,1
0,2,0,25,1,0,26.0,Mr,2
0,3,1,25,1,0,7.925,Miss,2
1,1,1,29,0,0,211.3375,Miss,1
0,3,0,11,0,0,18.7875,Mr,1
0,2,0,30,0,0,0.0,Mr,1
0,2,0,23,0,0,13.0,Mr,1
0,2,0,23,0,0,13.0,Mr,1
0,3,0,29,0,0,16.1,Mr,1
0,3,1,48,1,3,34.375,Mrs,5
1,1,0,35,0,0,512.3292,Mr,1
0,3,0,30,0,0,7.8958,Mr,1
0,3,0,30,0,0,7.8958,Mr,1
1,1,0,30,0,0,30.0,Mr,1
0,1,0,36,1,0,78.85,Mr,2
1,1,1,21,2,2,262.375,Miss,5
0,3,0,24,1,0,16.1,Mr,2
1,3,0,31,0,0,7.925,Mr,1
0,1,0,70,1,1,71.0,Mr,3
0,3,0,16,1,1,20.25,Mr,3
1,2,1,30,0,0,13.0,Miss,1
0,1,0,19,1,0,53.1,Mr,2
0,3,0,31,0,0,7.75,Mr,1
1,2,1,4,1,1,23.0,Miss,3
1,3,0,6,0,1,12.475,kid,2
0,3,0,33,0,0,9.5,Mr,1
0,3,0,23,0,0,7.8958,Mr,1
1,2,1,48,1,2,65.0,Mrs,4
1,2,0,1,1,1,14.5,kid,3
0,3,0,28,0,0,7.7958,Mr,1
0,2,0,18,0,0,11.5,Mr,1
0,3,0,34,0,0,8.05,Mr,1
1,1,1,33,0,0,86.5,Mrs,1
0,3,0,30,0,0,14.5,Mr,1
0,3,0,41,0,0,7.125,Mr,1
1,3,0,20,0,0,7.2292,Mr,1
1,1,1,36,1,2,120.0,Mrs,4
0,3,0,16,0,0,7.775,Mr,1
1,1,1,51,1,0,77.9583,Mrs,2
0,1,0,47,0,0,39.6,Dr,1
0,3,1,31,0,0,7.75,Miss,1
0,3,0,30,1,0,24.15,Mr,2
0,3,0,32,0,0,8.3625,Mr,1
0,3,0,24,0,0,9.5,Mr,1
0,3,0,48,0,0,7.8542,Mr,1
0,2,1,57,0,0,10.5,Mrs,1
0,3,0,30,0,0,7.225,Mr,1
1,2,1,54,1,3,23.0,Mrs,5
0,3,0,18,0,0,7.75,Mr,1
0,3,0,30,0,0,7.75,Mr,1
1,3,1,5,0,0,12.475,Miss,1
0,3,0,30,0,0,7.7375,Mr,1
1,1,1,43,0,1,211.3375,Mrs,2
1,3,1,13,0,0,7.2292,Miss,1
1,1,1,17,1,0,57.0,Mrs,2
0,1,0,29,0,0,30.0,Mr,1
0,3,0,30,1,2,23.45,Mr,4
0,3,0,25,0,0,7.05,Mr,1
0,3,0,25,0,0,7.25,Mr,1
1,3,1,18,0,0,7.4958,Miss,1
0,3,0,8,4,1,29.125,kid,6
1,3,0,1,1,2,20.575,kid,4
0,1,0,46,0,0,79.2,Mr,1
0,3,0,30,0,0,7.75,Mr,1
0,2,0,16,0,0,26.0,Mr,1
0,3,1,21,8,2,69.55,Miss,11
0,1,0,30,0,0,30.6958,Mr,1
0,3,0,25,0,0,7.8958,Mr,1
0,2,0,39,0,0,13.0,Mr,1
1,1,1,49,0,0,25.9292,Dr,1
1,3,1,31,0,0,8.6833,Mrs,1
0,3,0,30,0,0,7.2292,Mr,1
0,3,1,30,1,1,24.15,Mrs,3
0,2,0,34,0,0,13.0,Mr,1
1,2,1,31,1,1,26.25,Mrs,3
1,1,0,11,1,2,120.0,kid,4
1,3,0,1,0,1,8.5167,kid,2
1,3,0,27,0,0,6.975,Mr,1
0,3,0,31,0,0,7.775,Mr,1
0,1,0,39,0,0,0.0,Mr,1
0,3,1,18,0,0,7.775,Miss,1
0,2,0,39,0,0,13.0,Mr,1
1,1,1,33,1,0,53.1,Mrs,2
0,3,0,26,0,0,7.8875,Mr,1
0,3,0,39,0,0,24.15,Mr,1
0,2,0,35,0,0,10.5,Mr,1
0,3,1,6,4,2,31.275,Miss,7
0,3,0,31,0,0,8.05,Mr,1
0,1,0,30,0,0,0.0,Mr,1
0,3,1,23,0,0,7.925,Miss,1
0,2,0,31,1,1,37.0042,Mr,3
0,3,0,43,0,0,6.45,Mr,1
0,3,0,10,3,2,27.9,kid,6
1,1,1,52,1,1,93.5,Mrs,3
1,3,0,27,0,0,8.6625,Mr,1
0,1,0,38,0,0,0.0,Mr,1
1,3,1,27,0,1,12.475,Mrs,2
0,3,0,2,4,1,39.6875,kid,6
0,3,0,30,0,0,6.95,Mr,1
0,3,0,30,0,0,56.4958,Mr,1
1,2,0,1,0,2,37.0042,kid,3
1,3,0,30,0,0,7.75,Mr,1
1,1,1,62,0,0,80.0,Mrs,1
1,3,1,15,1,0,14.4542,Mrs,2
1,2,0,1,1,1,18.75,kid,3
0,3,0,30,0,0,7.2292,Mr,1
0,3,0,23,0,0,7.8542,Mr,1
0,3,0,18,0,0,8.3,Mr,1
1,1,1,39,1,1,83.1583,Miss,3
0,3,0,21,0,0,8.6625,Mr,1
0,3,0,30,0,0,8.05,Mr,1
1,3,0,32,0,0,56.4958,Mr,1
1,1,0,30,0,0,29.7,Mr,1
0,3,0,20,0,0,7.925,Mr,1
0,2,0,16,0,0,10.5,Mr,1
1,1,1,30,0,0,31.0,Miss,1
0,3,0,35,0,0,6.4375,Mr,1
0,3,0,17,0,0,8.6625,Mr,1
0,3,0,42,0,0,7.55,Mr,1
0,3,0,30,8,2,69.55,Mr,11
0,3,0,35,0,0,7.8958,Mr,1
0,2,0,28,0,1,33.0,Mr,2
1,1,1,35,1,0,89.1042,Mrs,2
0,3,0,4,4,2,31.275,kid,7
0,3,0,74,0,0,7.775,Mr,1
0,3,1,9,1,1,15.2458,Miss,3
1,1,1,16,0,1,39.4,Miss,2
0,2,1,44,1,0,26.0,Mrs,2
1,3,1,18,0,1,9.35,Mrs,2
1,1,1,45,1,1,164.8667,Mrs,3
1,1,0,51,0,0,26.55,Mr,1
1,3,1,24,0,3,19.2583,Mrs,4
0,3,0,30,0,0,7.2292,Mr,1
0,3,0,41,2,0,14.1083,Mr,3
0,2,0,21,1,0,11.5,Mr,2
1,1,1,48,0,0,25.9292,Mrs,1
0,3,1,21,8,2,69.55,Miss,11
0,2,0,24,0,0,13.0,Mr,1
1,2,1,42,0,0,13.0,Mrs,1
1,2,1,27,1,0,13.8583,Miss,2
0,1,0,31,0,0,50.4958,Mr,1
0,3,0,30,0,0,9.5,Mr,1
1,3,0,4,1,1,11.1333,kid,3
0,3,0,26,0,0,7.8958,Mr,1
1,1,1,47,1,1,52.5542,Mrs,3
0,1,0,33,0,0,5.0,Mr,1
0,3,0,47,0,0,9.0,Mr,1
1,2,1,28,1,0,24.0,Mrs,2
1,3,1,15,0,0,7.225,Miss,1
0,3,0,20,0,0,9.8458,Mr,1
0,3,0,19,0,0,7.8958,Mr,1
0,3,0,30,0,0,7.8958,Mr,1
1,1,1,56,0,1,83.1583,Mrs,2
1,2,1,25,0,1,26.0,Mrs,2
0,3,0,33,0,0,7.8958,Mr,1
0,3,1,22,0,0,10.5167,Miss,1
0,2,0,28,0,0,10.5,Mr,1
0,3,0,25,0,0,7.05,Mr,1
0,3,1,39,0,5,29.125,Mrs,6
0,2,0,27,0,0,13.0,Mr,1
1,1,1,19,0,0,30.0,Miss,1
0,3,1,21,1,2,23.45,Miss,4
1,1,0,26,0,0,30.0,Mr,1
0,3,0,32,0,0,7.75,Mr,1
